date,mmm yy,week no,day_type
01-May-23,May-23,W 19,weekend
02-May-23,May-23,W 19,weekeday
03-May-23,May-23,W 19,weekeday
04-May-23,May-23,W 19,weekeday
05-May-23,May-23,W 19,weekeday
06-May-23,May-23,W 19,weekeday
07-May-23,May-23,W 19,weekend
08-May-23,May-23,W 20,weekend
09-May-23,May-23,W 20,weekeday
10-May-23,May-23,W 20,weekeday
11-May-23,May-23,W 20,weekeday
12-May-23,May-23,W 20,weekeday
13-May-23,May-23,W 20,weekeday
14-May-23,May-23,W 20,weekend
15-May-23,May-23,W 21,weekend
16-May-23,May-23,W 21,weekeday
17-May-23,May-23,W 21,weekeday
18-May-23,May-23,W 21,weekeday
19-May-23,May-23,W 21,weekeday
20-May-23,May-23,W 21,weekeday
21-May-23,May-23,W 21,weekend
22-May-23,May-23,W 22,weekend
23-May-23,May-23,W 22,weekeday
24-May-23,May-23,W 22,weekeday
25-May-23,May-23,W 22,weekeday
26-May-23,May-23,W 22,weekeday
27-May-23,May-23,W 22,weekeday
28-May-23,May-23,W 22,weekend
29-May-23,May-23,W 23,weekend
30-May-23,May-23,W 23,weekeday
31-May-23,May-23,W 23,weekeday
01-Jun-23,Jun-23,W 23,weekeday
02-Jun-23,Jun-23,W 23,weekeday
03-Jun-23,Jun-23,W 23,weekeday
04-Jun-23,Jun-23,W 23,weekend
05-Jun-23,Jun-23,W 24,weekend
06-Jun-23,Jun-23,W 24,weekeday
07-Jun-23,Jun-23,W 24,weekeday
08-Jun-23,Jun-23,W 24,weekeday
09-Jun-23,Jun-23,W 24,weekeday
10-Jun-23,Jun-23,W 24,weekeday
11-Jun-23,Jun-23,W 24,weekend
12-Jun-23,Jun-23,W 25,weekend
13-Jun-23,Jun-23,W 25,weekeday
14-Jun-23,Jun-23,W 25,weekeday
15-Jun-23,Jun-23,W 25,weekeday
16-Jun-23,Jun-23,W 25,weekeday
17-Jun-23,Jun-23,W 25,weekeday
18-Jun-23,Jun-23,W 25,weekend
19-Jun-23,Jun-23,W 26,weekend
20-Jun-23,Jun-23,W 26,weekeday
21-Jun-23,Jun-23,W 26,weekeday
22-Jun-23,Jun-23,W 26,weekeday
23-Jun-23,Jun-23,W 26,weekeday
24-Jun-23,Jun-23,W 26,weekeday
25-Jun-23,Jun-23,W 26,weekend
26-Jun-23,Jun-23,W 27,weekend
27-Jun-23,Jun-23,W 27,weekeday
28-Jun-23,Jun-23,W 27,weekeday
29-Jun-23,Jun-23,W 27,weekeday
30-Jun-23,Jun-23,W 27,weekeday
01-Jul-23,Jul-23,W 27,weekeday
02-Jul-23,Jul-23,W 27,weekend
03-Jul-23,Jul-23,W 28,weekend
04-Jul-23,Jul-23,W 28,weekeday
05-Jul-23,Jul-23,W 28,weekeday
06-Jul-23,Jul-23,W 28,weekeday
07-Jul-23,Jul-23,W 28,weekeday
08-Jul-23,Jul-23,W 28,weekeday
09-Jul-23,Jul-23,W 28,weekend
10-Jul-23,Jul-23,W 29,weekend
11-Jul-23,Jul-23,W 29,weekeday
12-Jul-23,Jul-23,W 29,weekeday
13-Jul-23,Jul-23,W 29,weekeday
14-Jul-23,Jul-23,W 29,weekeday
15-Jul-23,Jul-23,W 29,weekeday
16-Jul-23,Jul-23,W 29,weekend
17-Jul-23,Jul-23,W 30,weekend
18-Jul-23,Jul-23,W 30,weekeday
19-Jul-23,Jul-23,W 30,weekeday
20-Jul-23,Jul-23,W 30,weekeday
21-Jul-23,Jul-23,W 30,weekeday
22-Jul-23,Jul-23,W 30,weekeday
23-Jul-23,Jul-23,W 30,weekend
24-Jul-23,Jul-23,W 31,weekend
25-Jul-23,Jul-23,W 31,weekeday
26-Jul-23,Jul-23,W 31,weekeday
27-Jul-23,Jul-23,W 31,weekeday
28-Jul-23,Jul-23,W 31,weekeday
29-Jul-23,Jul-23,W 31,weekeday
30-Jul-23,Jul-23,W 31,weekend
31-Jul-23,Jul-23,W 32,weekend
